Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
16-May-2017,EQ,"2,380.00","2,435.00","2,373.45","2,365.10","2,425.10","2,429.15","2,410.26","2,744.80","2,051.90",1800513,"4,339,703,206.25",58476
15-May-2017,EQ,"2,375.10","2,377.95","2,341.60","2,360.65","2,368.00","2,365.10","2,352.60","2,744.80","2,051.90",908802,"2,138,043,383.00",30047
12-May-2017,EQ,"2,343.30","2,369.90","2,320.05","2,349.45","2,369.90","2,360.65","2,350.96","2,744.80","2,051.90",1157223,"2,720,590,465.70",43095
11-May-2017,EQ,"2,347.30","2,360.00","2,322.75","2,332.45","2,350.65","2,349.45","2,338.36","2,744.80","2,051.90",1035651,"2,421,728,800.85",48951
10-May-2017,EQ,"2,355.00","2,356.15","2,316.00","2,352.55","2,335.75","2,332.45","2,330.31","2,744.80","2,051.90",603194,"1,405,627,272.25",50299
09-May-2017,EQ,"2,343.95","2,361.00","2,332.55","2,342.45","2,355.00","2,352.55","2,349.47","2,744.80","2,051.90",895135,"2,103,094,502.80",56506
08-May-2017,EQ,"2,321.00","2,347.40","2,317.70","2,320.50","2,342.00","2,342.45","2,337.57","2,744.80","2,051.90",535891,"1,252,684,796.20",40124
05-May-2017,EQ,"2,308.00","2,332.50","2,302.50","2,330.10","2,323.00","2,320.50","2,319.55","2,744.80","2,051.90",841237,"1,951,289,536.65",44152
04-May-2017,EQ,"2,349.95","2,350.00","2,308.80","2,337.30","2,331.90","2,330.10","2,326.77","2,744.80","2,051.90",1354104,"3,150,690,119.85",64467
03-May-2017,EQ,"2,295.00","2,345.00","2,268.50","2,289.90","2,337.80","2,337.30","2,321.66","2,744.80","2,051.90",1757203,"4,079,634,981.50",90354
02-May-2017,EQ,"2,294.00","2,302.00","2,280.00","2,273.15","2,288.15","2,289.90","2,291.39","2,744.80","2,051.90",1191348,"2,729,841,238.20",84453
28-Apr-2017,EQ,"2,294.00","2,298.75","2,268.00","2,302.65","2,275.00","2,273.15","2,281.49","2,744.80","2,051.90",1270255,"2,898,077,017.40",71376
27-Apr-2017,EQ,"2,306.05","2,327.80","2,277.65","2,310.35","2,289.80","2,302.65","2,307.22","2,744.80","2,051.90",2886593,"6,659,993,493.20",90044
26-Apr-2017,EQ,"2,340.00","2,343.95","2,303.05","2,311.50","2,310.00","2,310.35","2,312.81","2,744.80","2,051.90",1093719,"2,529,562,499.45",47332
25-Apr-2017,EQ,"2,328.00","2,344.45","2,302.70","2,328.10","2,310.00","2,311.50","2,313.08","2,744.80","2,051.90",1574355,"3,641,606,876.45",83159
24-Apr-2017,EQ,"2,300.00","2,339.65","2,282.50","2,310.80","2,328.00","2,328.10","2,317.25","2,744.80","2,051.90",1000010,"2,317,273,548.35",48463
21-Apr-2017,EQ,"2,329.10","2,335.65","2,301.00","2,325.50","2,312.00","2,310.80","2,313.83","2,744.80","2,051.90",580577,"1,343,353,656.60",29955
20-Apr-2017,EQ,"2,305.30","2,332.00","2,290.95","2,299.15","2,325.00","2,325.50","2,309.27","2,744.80","2,051.90",634421,"1,465,051,937.20",58222
19-Apr-2017,EQ,"2,263.50","2,348.70","2,252.80","2,308.80","2,302.00","2,299.15","2,297.47","2,744.80","2,051.90",2813406,"6,463,724,125.80",118781
18-Apr-2017,EQ,"2,330.00","2,334.20","2,302.05","2,314.85","2,302.05","2,308.80","2,319.46","2,744.80","2,051.90",865310,"2,007,051,615.65",32093
17-Apr-2017,EQ,"2,330.40","2,332.90","2,295.15","2,328.65","2,319.00","2,314.85","2,309.69","2,744.80","2,051.90",1135441,"2,622,515,682.00",30523
13-Apr-2017,EQ,"2,400.00","2,409.00","2,321.05","2,393.25","2,335.00","2,328.65","2,340.72","2,744.80","2,051.90",1250236,"2,926,458,638.75",94763
12-Apr-2017,EQ,"2,422.50","2,428.00","2,383.00","2,419.30","2,392.00","2,393.25","2,403.41","2,744.80","2,051.90",525269,"1,262,434,613.70",36629
11-Apr-2017,EQ,"2,417.30","2,443.10","2,406.00","2,422.25","2,419.65","2,419.30","2,429.55","2,744.80","2,051.90",778892,"1,892,359,268.15",36564
10-Apr-2017,EQ,"2,432.00","2,449.00","2,405.00","2,429.05","2,408.00","2,422.25","2,434.88","2,744.80","2,051.90",1271632,"3,096,272,696.20",47017
07-Apr-2017,EQ,"2,394.90","2,433.25","2,392.15","2,400.05","2,432.00","2,429.05","2,418.91","2,744.80","2,051.90",1138506,"2,753,948,935.30",70769
06-Apr-2017,EQ,"2,400.00","2,410.00","2,392.55","2,401.25","2,395.00","2,400.05","2,399.64","2,744.80","2,051.90",860352,"2,064,532,792.95",35993
05-Apr-2017,EQ,"2,419.90","2,419.90","2,395.00","2,411.70","2,404.50","2,401.25","2,401.62","2,744.80","2,051.90",1452784,"3,489,032,404.05",96591
03-Apr-2017,EQ,"2,435.00","2,435.00","2,408.20","2,431.80","2,410.00","2,411.70","2,418.00","2,744.80","2,051.90",598444,"1,447,037,676.50",29133
31-Mar-2017,EQ,"2,438.40","2,440.85","2,415.00","2,441.00","2,423.10","2,431.80","2,426.64","2,744.80","2,051.90",933522,"2,265,321,422.25",43625
30-Mar-2017,EQ,"2,444.90","2,465.00","2,435.00","2,444.60","2,436.70","2,441.00","2,448.49","2,744.80","2,051.90",1493043,"3,655,700,075.95",63889
29-Mar-2017,EQ,"2,436.00","2,450.80","2,425.60","2,429.95","2,443.10","2,444.60","2,439.98","2,744.80","2,051.90",858882,"2,095,657,290.00",58433
28-Mar-2017,EQ,"2,410.00","2,443.40","2,410.00","2,412.05","2,430.70","2,429.95","2,431.89","2,744.80","2,051.90",576579,"1,402,176,401.25",35869
